STRIKE PRICE,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1840 CE,29-Dec-17,50.7,50.7,41.7,47.85,50000
1860 CE,29-Dec-17,35.85,39.7,33.85,35.95,92500
1880 CE,29-Dec-17,26.15,30,24.5,26.15,332500
1900 CE,29-Dec-17,19.4,21.8,17.55,18.6,582500
1920 CE,29-Dec-17,13.3,15.2,12.05,12.65,130000
1940 CE,29-Dec-17,9,10.35,8.3,8.7,110500
1960 CE ,29-Dec-17,6.8,7.3,5.6,5.9,174500
1980 CE,29-Dec-17,4.3,4.35,4.25,4.3,4500
2000 CE,29-Dec-17,3.65,3.9,3.05,3.25,112000
2020 CE,29-Dec-17,2.15,2.25,2.15,2.25,2000
2040 CE,29-Dec-17,1.9,1.9,1.65,1.9,4500
1840 CE,1-Jan-18,48.1,50.85,42.15,42.15,3500
1860 CE,1-Jan-18,35.95,38.5,30.4,31.95,49000
1880 CE,1-Jan-18,27,28.6,22.5,23.5,257500
1900 CE,1-Jan-18,18.75,20.9,15.85,16.65,239000
1920 CE,1-Jan-18,13.55,14.25,11.1,11.45,133500
1940 CE,1-Jan-18,9.2,9.95,7.1,7.6,64000
1960 CE ,1-Jan-18,6.2,7,4.45,4.7,42000
1980 CE,1-Jan-18,4.6,4.6,4,4,6000
2000 CE,1-Jan-18,3.65,3.75,2.7,2.85,88000
2020 CE,1-Jan-18,2.25,2.65,2.25,2.65,2500
2040 CE,1-Jan-18,3.85,3.85,1.4,1.5,7500
1840 CE,2-Jan-18,49,49,47.9,47.9,1000
1860 CE,2-Jan-18,32,39.2,32,37.85,79500
1880 CE,2-Jan-18,23.7,28.65,23,27.65,408500
1900 CE,2-Jan-18,17.3,20.45,16,19.65,418000
1920 CE,2-Jan-18,13.2,14.05,10.9,13.5,164500
1940 CE,2-Jan-18,8.3,9.5,7.7,9.05,97000
1960 CE ,2-Jan-18,5.05,6.95,4.7,6,53000
1980 CE,2-Jan-18,4.3,4.3,3.6,3.8,17500
2000 CE,2-Jan-18,2.8,3.5,2.6,3,95000
2040 CE,2-Jan-18,1.5,1.65,1.5,1.65,5000
1840 CE,3-Jan-18,48,48,42,42,3500
1860 CE,3-Jan-18,36,37.05,31,31.6,178000
1880 CE,3-Jan-18,26.3,27.6,22.7,23.35,340500
1900 CE,3-Jan-18,19.3,19.6,16.5,16.9,331500
1920 CE,3-Jan-18,12.7,13.25,11.5,11.95,86500
1940 CE,3-Jan-18,8.7,8.75,7.85,8.45,92000
1960 CE ,3-Jan-18,5.6,6.25,5.3,5.9,58000
1980 CE,3-Jan-18,3.65,4,3.65,4,1500
2000 CE,3-Jan-18,2.95,3.3,2.65,3.25,57000
2020 CE,3-Jan-18,2.2,2.5,2.15,2.5,22000
2040 CE,3-Jan-18,1.5,2,1.5,1.9,17000
1840 CE,4-Jan-18,42,44.8,38,39.7,19500
1860 CE,4-Jan-18,33.1,33.45,28.5,30.3,303500
1880 CE,4-Jan-18,23.5,24.6,20.75,21.9,250000
1900 CE,4-Jan-18,16.95,17.7,15,15.9,248000
1920 CE,4-Jan-18,12,12.5,10.4,11.25,120500
1940 CE,4-Jan-18,7.05,8.75,7.05,8,127000
1960 CE ,4-Jan-18,6.15,6.15,5,5.45,54500
1980 CE,4-Jan-18,3.8,3.9,3.8,3.9,2000
2000 CE,4-Jan-18,2.95,3.2,2.6,2.75,46000
2020 CE,4-Jan-18,2.5,2.5,1.65,1.95,14500
2040 CE,4-Jan-18,0.45,1.75,0.45,1.7,3000
1840 CE,5-Jan-18,42,44,36,41.8,6500
1860 CE,5-Jan-18,30.75,32.7,27.9,30.45,368500
1880 CE,5-Jan-18,21.9,23.85,20,22.2,324000
1900 CE,5-Jan-18,16,16.95,14.5,15.85,346000
1920 CE,5-Jan-18,11.1,11.85,10.25,11.25,105500
1940 CE,5-Jan-18,8.25,8.6,7.35,8.05,63000
1960 CE ,5-Jan-18,5.65,5.8,5.15,5.55,42500
1980 CE,5-Jan-18,2.1,3.95,1,1,5000
2000 CE,5-Jan-18,2.85,3.25,2.65,3.05,28000
2020 CE,5-Jan-18,1.95,1.95,1.95,1.95,500
2040 CE,5-Jan-18,1.7,1.8,1.6,1.8,2500
1840 CE,8-Jan-18,43.5,43.5,38,40.35,39000
1860 CE,8-Jan-18,31.9,33.05,25.9,26.3,583500
1880 CE,8-Jan-18,23.5,24.1,18.35,18.7,312500
1900 CE,8-Jan-18,16.35,17.5,13,13.25,389500
1920 CE,8-Jan-18,11.6,12.5,9,9.2,139000
1940 CE,8-Jan-18,8.3,8.8,6.6,6.8,70500
1960 CE ,8-Jan-18,6,6.4,4.65,4.9,70000
1980 CE,8-Jan-18,4.45,4.75,3.55,3.7,7500
2000 CE,8-Jan-18,3.2,3.45,2.55,2.75,54000
2040 CE,8-Jan-18,1.9,1.9,1.8,1.85,20500
1840 CE,9-Jan-18,38,40,34,35.5,7500
1860 CE,9-Jan-18,27.45,28.55,23.6,25.05,438000
1880 CE,9-Jan-18,19.35,20.65,16.45,17.4,471000
1900 CE,9-Jan-18,13,14.35,11.5,12.4,408500
1920 CE,9-Jan-18,8.7,9.9,8,8.6,121500
1940 CE,9-Jan-18,6.2,7.05,5.8,6.4,66000
1960 CE ,9-Jan-18,4.6,5,4.2,4.65,29000
1980 CE,9-Jan-18,3.3,4,3.25,3.5,21000
2000 CE,9-Jan-18,2.7,3,2.4,2.8,64500
2020 CE,9-Jan-18,2,2,2,2,1000
2040 CE,9-Jan-18,1.85,1.9,1.6,1.9,29000
1840 CE,10-Jan-18,36.7,37,34.6,35.65,10000
1860 CE,10-Jan-18,26.7,26.75,23.5,25.65,322500
1880 CE,10-Jan-18,19.4,19.4,16.5,17.6,322000
1900 CE,10-Jan-18,12.8,14.25,11.5,12.3,500500
1920 CE,10-Jan-18,9.25,9.35,7.95,8.5,131000
1940 CE,10-Jan-18,6.6,6.75,5.6,6.15,50500
1960 CE ,10-Jan-18,5.25,5.25,4.35,4.6,8500
1980 CE,10-Jan-18,3.5,3.5,3.5,3.5,1000
2000 CE,10-Jan-18,2.9,3,2.5,2.85,71000
2020 CE,10-Jan-18,2.35,2.35,1.8,1.8,2500
2040 CE,10-Jan-18,2,2,1.7,1.75,34500
1840 CE,11-Jan-18,34.65,42.5,34.65,39.25,10000
1860 CE,11-Jan-18,24.2,30.95,22.7,28,425000
1880 CE,11-Jan-18,16.5,21.5,15.75,19.6,468500
1900 CE,11-Jan-18,11.8,15.3,10.85,13.8,620000
1920 CE,11-Jan-18,9.35,10.85,7.8,9.5,146000
1940 CE,11-Jan-18,5.55,7.7,5.55,6.85,68500
1960 CE ,11-Jan-18,4.2,5.45,4.2,4.95,10500
1980 CE,11-Jan-18,3.2,4.3,3.2,4,4500
2000 CE,11-Jan-18,2.7,3.1,2.45,2.75,73000
2040 CE,11-Jan-18,1.9,2,1.65,1.8,35500
1840 CE,12-Jan-18,44,44,33.5,35.8,3000
1860 CE,12-Jan-18,28.9,31.1,23.4,24.9,438500
1880 CE,12-Jan-18,19.6,22.25,16.35,17.35,532000
1900 CE,12-Jan-18,14.05,15.65,11.7,12.25,722500
1920 CE,12-Jan-18,9.7,10.6,8.35,8.7,252000
1940 CE,12-Jan-18,7,7.7,6.1,6.4,86500
1960 CE ,12-Jan-18,5.05,5.65,4.65,4.95,9000
1980 CE,12-Jan-18,4.05,4.05,3.6,3.6,3000
2000 CE,12-Jan-18,2.95,3.1,2.7,2.75,68000
2040 CE,12-Jan-18,1.8,2.2,1.8,2,53500
1840 CE,15-Jan-18,34.55,63,33.55,59.95,26000
1860 CE,15-Jan-18,25.4,47.1,24.15,42.5,831500
1880 CE,15-Jan-18,18,34.55,17.2,29.95,1968000
1900 CE,15-Jan-18,13.8,25.5,12.3,21.15,4342500
1920 CE,15-Jan-18,10,19.4,8.6,15,1687000
1940 CE,15-Jan-18,6.5,14.5,6.5,10.6,894500
1960 CE ,15-Jan-18,5.75,10.35,5.5,7.65,156500
1980 CE,15-Jan-18,4.25,7.7,4,5.55,134000
2000 CE,15-Jan-18,2.75,5.75,2.75,3.95,558500
2020 CE,15-Jan-18,2.95,4.25,2.75,3,93000
2040 CE,15-Jan-18,2.05,3.65,2.05,2.85,179500
