STRIKE PRICE,DATE,OPEN,HIGH,LOW,CLOSE,Volume
300 CE,29-Dec-17,18.85,20,17.3,18.25,145750
305 CE,29-Dec-17,15,15,15,15,2750
310 CE,29-Dec-17,11.5,12.75,10.4,11.05,495000
315 CE,29-Dec-17,10,10,7.7,8.3,1133000
320 CE,29-Dec-17,6.7,7.35,5.6,6,2004750
325 CE,29-Dec-17,5.05,5.4,4,4.25,970750
330 CE,29-Dec-17,3.5,3.85,2.75,2.95,838750
335 CE,29-Dec-17,2.55,2.75,1.95,2.05,266750
340 CE,29-Dec-17,1.9,2,1.35,1.45,555500
345 CE,29-Dec-17,1.2,1.45,0.95,1,319000
350 CE,29-Dec-17,0.95,1.05,0.75,0.8,1303500
355 CE,29-Dec-17,0.7,0.7,0.45,0.45,74250
360 CE,29-Dec-17,0.5,0.55,0.4,0.4,112750
300 CE,1-Jan-18,16.65,17.35,15.25,16.25,286000
305 CE,1-Jan-18,13,13,13,13,2750
310 CE,1-Jan-18,10.4,10.9,8.75,9.3,440000
315 CE,1-Jan-18,7.85,8.15,6.3,6.75,976250
320 CE,1-Jan-18,6,6,4.4,4.8,2769250
325 CE,1-Jan-18,3.85,4.15,3.05,3.35,558250
330 CE,1-Jan-18,2.75,2.85,2.05,2.3,1105500
335 CE,1-Jan-18,1.85,1.85,1.5,1.6,110000
340 CE,1-Jan-18,1.35,1.4,1.1,1.1,418000
345 CE,1-Jan-18,1,1,0.7,0.8,165000
350 CE,1-Jan-18,0.7,0.7,0.55,0.65,514250
355 CE,1-Jan-18,1,1,0.45,0.45,71500
360 CE,1-Jan-18,0.4,0.4,0.35,0.35,8250
300 CE,2-Jan-18,16.2,16.2,13.6,15,297000
305 CE,2-Jan-18,11.5,12,10.5,12,60500
310 CE,2-Jan-18,9.25,9.4,7.6,8.45,2340250
315 CE,2-Jan-18,6.85,6.9,5.45,6.1,1496000
320 CE,2-Jan-18,4.7,4.9,3.75,4.25,2904000
325 CE,2-Jan-18,3.3,3.35,2.6,2.95,1036750
330 CE,2-Jan-18,2.25,2.3,1.75,2,1036750
335 CE,2-Jan-18,1.5,1.5,1.25,1.35,316250
340 CE,2-Jan-18,1.15,1.15,0.9,1,563750
345 CE,2-Jan-18,0.7,0.8,0.6,0.65,203500
350 CE,2-Jan-18,0.6,0.6,0.5,0.55,481250
355 CE,2-Jan-18,0.5,0.5,0.45,0.45,82500
360 CE,2-Jan-18,0.4,0.4,0.35,0.35,16500
370 CE,2-Jan-18,0.35,0.35,0.3,0.3,5500
300 CE,3-Jan-18,17.85,19.8,17.6,18.35,222750
305 CE,3-Jan-18,14.3,16,13.85,13.85,13750
310 CE,3-Jan-18,10,12.25,10,10.9,946000
315 CE,3-Jan-18,7,9.25,7,8,1881000
320 CE,3-Jan-18,5.45,6.75,5,5.65,3580500
325 CE,3-Jan-18,3.7,4.75,3.6,3.9,1375000
330 CE,3-Jan-18,2.55,3.3,2.45,2.6,1432750
335 CE,3-Jan-18,1.75,2.2,1.65,1.75,335500
340 CE,3-Jan-18,1.05,1.5,1.05,1.2,1292500
345 CE,3-Jan-18,0.9,1,0.75,0.85,233750
350 CE,3-Jan-18,0.65,0.75,0.55,0.6,731500
355 CE,3-Jan-18,0.55,0.55,0.45,0.45,181500
360 CE,3-Jan-18,0.45,0.45,0.3,0.35,143000
300 CE,4-Jan-18,17.8,18.8,16.1,18,203500
305 CE,4-Jan-18,12.35,12.35,12.35,12.35,5500
310 CE,4-Jan-18,10.2,11.25,9.1,10.75,588500
315 CE,4-Jan-18,7.25,8.4,6.4,7.85,1837000
320 CE,4-Jan-18,5.3,6.05,4.4,5.55,3649250
325 CE,4-Jan-18,3.85,4.25,2.95,3.85,1641750
330 CE,4-Jan-18,2.4,2.95,1.95,2.7,2310000
335 CE,4-Jan-18,1.55,2.05,1.25,1.8,629750
340 CE,4-Jan-18,1.05,1.45,0.9,1.25,1113750
345 CE,4-Jan-18,0.7,1,0.6,0.85,178750
350 CE,4-Jan-18,0.55,0.75,0.5,0.65,808500
355 CE,4-Jan-18,0.4,0.6,0.4,0.5,156750
360 CE,4-Jan-18,0.3,0.45,0.25,0.35,214500
370 CE,4-Jan-18,0.25,0.25,0.25,0.25,2750
300 CE,5-Jan-18,16.5,16.65,15.1,16.5,60500
305 CE,5-Jan-18,13,13,13,13,2750
310 CE,5-Jan-18,10.45,10.55,8.35,9.05,855250
315 CE,5-Jan-18,7.55,7.7,5.95,6.55,2519000
320 CE,5-Jan-18,5.2,5.45,4.1,4.55,2901250
325 CE,5-Jan-18,3.7,3.75,2.75,3.05,998250
330 CE,5-Jan-18,2.45,2.55,1.85,2.1,1405250
335 CE,5-Jan-18,1.7,1.7,1.25,1.4,308000
340 CE,5-Jan-18,1.2,1.25,0.9,1,775500
345 CE,5-Jan-18,0.75,0.75,0.6,0.65,231000
350 CE,5-Jan-18,0.65,0.65,0.5,0.55,305250
355 CE,5-Jan-18,0.4,0.4,0.4,0.4,110000
360 CE,5-Jan-18,0.35,0.35,0.25,0.35,170500
370 CE,5-Jan-18,0.25,0.25,0.25,0.25,2750
300 CE,8-Jan-18,16.95,20.2,15.65,16.75,123750
305 CE,8-Jan-18,13.15,15,13.15,15,8250
310 CE,8-Jan-18,9.4,12.2,8.6,9.35,1245750
315 CE,8-Jan-18,6.9,9,6,6.75,2516250
320 CE,8-Jan-18,4.65,6.45,4.1,4.7,5568750
325 CE,8-Jan-18,3.15,4.35,2.75,3.15,1405250
330 CE,8-Jan-18,2,3,1.8,2.1,1952500
335 CE,8-Jan-18,1.3,1.95,1.25,1.35,396000
340 CE,8-Jan-18,0.9,1.3,0.85,0.9,1908500
345 CE,8-Jan-18,0.65,0.85,0.65,0.65,115500
350 CE,8-Jan-18,0.5,0.65,0.45,0.5,352000
355 CE,8-Jan-18,0.4,0.45,0.4,0.4,11000
360 CE,8-Jan-18,0.35,0.35,0.3,0.3,52250
370 CE,8-Jan-18,0.2,0.2,0.2,0.2,2750
